captions,filepath,class,captions_nepali
"['rivers and roads wind through the green mountain.', 'rivers and roads wind through the green mountain.', 'rivers and roads wind through the green mountain .', 'here is a rather green mountain range covered with lush forest .', 'it is a piece of irregular green mountains .']",test/mountain_54.jpg,पहाड,"['नदी र सडकहरू हरियो पहाडबाट हावा।', 'नदी र सडकहरू हरियो पहाडबाट हावा चल्छन्।', 'नदी र सडकहरू हरियो पहाडबाट हावा चल्छन्।', 'यहाँ हरियाली जङ्गलले ढाकिएको हरियाली पहाडको शृङ्खला छ।', 'यो अनियमित हरियो पहाडको टुक्रा हो।']"
"['a large airport was built on the ground.', 'near the airport is a lot of bare land.', 'near the airport is a lot of bare land .', 'a high airport was built on land.', 'a tall airport was built on the land .']",test/airport_37.jpg,विमानस्थल,"['जमिनमा ठूलो एयरपोर्ट बनाइयो।', 'विमानस्थल नजिकै धेरै खाली जमिन छ।', 'विमानस्थल नजिकै धेरै खाली जमिन छ।', 'जमिनमा अग्लो एयरपोर्ट बनाइयो।', 'जमिनमा अग्लो एयरपोर्ट बनाइयो।']"
"['the building surrounded by airplanes is sandwiched between two airport runways is composed of an oval building and several long narrow buildings.', 'the building surrounded by aeroplanes is sandwiched between two airport runways is composed of an oval building and several narrow long buildings .', 'a ball cactus shaped airport surrounded by the runway with some lawns .', 'a u shaped termial building is surrounded by runways .', 'many planes are parked around a large building in an airport with runways .']",test/airport_360.jpg,विमानस्थल,"['विमानले घेरिएको भवन दुईवटा एयरपोर्ट रनवेको बीचमा स्यान्डविच गरिएको छ, अंडाकार भवन र धेरै लामो साँघुरो भवनहरू मिलेर बनेको छ।', 'हवाईजहाजले घेरिएको भवन दुईवटा विमानस्थलको रनवेको बिचमा स्यान्डविच गरिएको छ र यो अंडाकार भवन र धेरै साँघुरो लामो भवनहरू मिलेर बनेको छ।', 'बल क्याक्टस आकारको एयरपोर्ट रनवेले घेरिएको केही ल्यानहरू छन्।', 'यू आकारको टर्मिनल भवन रनवेले घेरिएको छ।', 'धेरै विमानहरू रनवेसहितको विमानस्थलमा ठूलो भवनको वरिपरि पार्क गरिएका छन्।']"
"['Many buildings are close to several roads.', 'some houses with orange roofs are located in these blocks with dusty air.', 'a few houses with orange roofs are located in these blocks with dusty air .', 'Many buildings are close to several roads.', 'many buildings are near several roads .']",train/mediumresidential_122.jpg,आवासीय क्षेत्र,"['धेरै भवनहरू धेरै सडकहरू नजिक छन्।', 'सुन्तला रंगको छाना भएका केही घरहरू धुलो हावा भएका यी ब्लकहरूमा अवस्थित छन्।', 'धुलो हावा भएका यी ब्लकहरूमा सुन्तला रंगको छाना भएका केही घरहरू छन्।', 'धेरै भवनहरू धेरै सडकहरू नजिक छन्।', 'धेरै भवनहरू धेरै सडकहरू नजिक छन्।']"
"['s a lake in front of a white roof.""  ""There', 'there are many tall trees around the lake .', 's a lake in front of a white roof.""']",test/pond_52.jpg,पोखरी,"['ताल वरिपरि धेरै अग्लो रूखहरू छन्।', 'सेतो छानाको अगाडि एउटा ताल छ।']"
"['many green trees are around a rectangular pond.', 'This trapezoidal pond has dark blue water, with dense woods surrounded.', 'this trapezoidal pond has dark blue water, with dense woods surrounded .', 'Many green trees are around a rectangular pond.', 'many green trees are around a rectangular pond .']",train/pond_118.jpg,पोखरी,"['आयताकार पोखरी वरपर धेरै हरियो रूखहरू छन्।', 'यो ट्रापेजोइडल पोखरीमा गाढा नीलो पानी छ, घना जंगलले घेरिएको छ।', 'यो ट्रापेजोइडल पोखरीमा गाढा नीलो पानी छ, घना जंगलले घेरिएको छ।', 'आयताकार पोखरी वरिपरि धेरै हरिया रुखहरू छन्।', 'धेरै हरियो रूखहरू आयताकार पोखरी वरिपरि छन्।']"
"['Many aircraft are parked near several terminals in an airport with several parking lots.', 'many aircraft are parked near several terminals at an airport with several parking lots.', 'many planes are parked near several terminals in an airport with several parking lots.', 'many planes are parked near several terminals at an airport with several parking lots.', 'many planes are parked near several terminals in an airport with several parking lots .']",train/airport_313.jpg,विमानस्थल,"['धेरै विमानहरू धेरै पार्किङ स्थलहरू भएको एयरपोर्टमा धेरै टर्मिनलहरू नजिकै पार्क गरिएका छन्।', 'धेरै विमानहरू धेरै पार्किङ स्थलहरू भएको एयरपोर्टमा धेरै टर्मिनलहरू नजिकै पार्क गरिएका छन्।', 'धेरै विमानहरू धेरै पार्किङ स्थलहरू भएको एयरपोर्टमा धेरै टर्मिनलहरू नजिकै पार्क गरिएका छन्।', 'धेरै विमानहरू धेरै पार्किङ स्थलहरू भएको एयरपोर्टमा धेरै टर्मिनलहरू नजिकै पार्क गरिएका छन्।', 'धेरै विमानहरू धेरै पार्किङ स्थलहरू भएको एयरपोर्टमा धेरै टर्मिनलहरू नजिकै पार्क गरिएका छन्।']"
"['there is a t junction near some houses on the lawn.', 'there is a t junction near some houses on the lawn .', 'the t road separates the residential which has many trees .', 'several cars are passing through this smart neighborhood with lawns and lush trees .', 'several buildings and some green trees are in two sides of a road .']",test/mediumresidential_49.jpg,आवासीय क्षेत्र,"['लनमा केही घरहरू नजिकै एउटा जंक्शन छ।', 'त्यहाँ ल्यानमा केही घरहरू नजिक एउटा जंक्शन छ।', 'टी रोडले आवासीयलाई छुट्याएको छ जसमा धेरै रूखहरू छन्।', 'धेरै कारहरू ल्यान र हरियाली रूखहरू भएको यो स्मार्ट छिमेकबाट गुज्रिरहेका छन्।', 'सडकको दुई छेउमा धेरै भवन र केही हरिया रुखहरू छन्।']"
"['White runways are near a terminal with many planes in an airport.', 'white tracks are near a terminal with many planes at an airport.', 'White tracks are close to a terminal with many planes in an airport.', 'white tracks are close to a terminal with many planes at an airport.', 'white runways are near a terminal with many planes in an airport .']",train/airport_234.jpg,विमानस्थल,"['एयरपोर्टमा धेरै विमानहरू भएको टर्मिनल नजिकै सेतो रनवेहरू छन्।', 'एयरपोर्टमा धेरै विमानहरू भएको टर्मिनल नजिकै सेतो ट्र्याकहरू छन्।', 'एयरपोर्टमा धेरै विमानहरू भएको टर्मिनलको नजिक सेतो ट्र्याकहरू छन्।', 'सेतो ट्र्याकहरू एयरपोर्टमा धेरै विमानहरू भएको टर्मिनलको नजिक छन्।', 'सेतो रनवेहरू टर्मिनल नजिकै एयरपोर्टमा धेरै विमानहरू छन्।']"
"['some red cottages are distributed in a forest.', 'some red huts are distributed in a forest.', 'some red cottages distribute in a forest .', 'several houses with red roofs are scattered among those lush trees .', 'some red buildings and many green trees are in a medium residential area .']",train/mediumresidential_2.jpg,आवासीय क्षेत्र,"['केही रातो कुटीरहरू जंगलमा बाँडिएका छन्।', 'केही रातो झुपडीहरू जंगलमा बाँडिन्छन्।', 'केही रातो कुटीरहरू जंगलमा बाँड्छन्।', 'रातो छाना भएका कयौं घरहरू ती हरियाली रूखहरूका बीचमा छरिएका छन्।', 'केही रातो भवनहरू र धेरै हरियो रूखहरू मध्यम आवासीय क्षेत्रमा छन्।']"
"['the small farm consists of grass and crops.', 'the farm is divided into different parts of the color .', 'some green trees in a line are almost found in several pieces of agricultural land.', 'some green trees in an almost line are in several pieces of farmlands .', 'the little farm consists of grass and crops .']",train/farmland_318.jpg,खेतीयोग्य भूमि,"['सानो खेत घाँस र बाली मिलेर बनेको छ।', 'फार्म रङको विभिन्न भागमा विभाजन गरिएको छ।', 'एउटै लाइनमा केही हरियो रूखहरू लगभग कृषि भूमिको धेरै टुक्राहरूमा पाइन्छ।', 'केही हरियो रूखहरू लगभग लाइनमा धेरै खेतहरूका टुक्राहरूमा छन्।', 'सानो खेतमा घाँस र बालीहरू हुन्छन्।']"
"['several buildings are near an almost triangular pond.', 'the pond with blue water is located in front of several villas.', 'the pond with blue water is located in front of several villas .', 'several buildings are close to an almost triangular pond.', 'several buildings are near an almost triangular pond .']",train/pond_109.jpg,पोखरी,"['धेरै भवनहरू लगभग त्रिकोणीय पोखरी नजिक छन्।', 'निलो पानी भएको पोखरी धेरै विलाहरूको अगाडि अवस्थित छ।', 'निलो पानी भएको पोखरी धेरै विलाहरूको अगाडि अवस्थित छ।', 'धेरै भवनहरू लगभग त्रिकोणीय पोखरी नजिक छन्।', 'धेरै भवनहरू लगभग त्रिकोणीय पोखरी नजिकै छन्।']"
"['a small wild road is located in a piece of green agricultural land.', 'a small wild path is found in a piece of green agricultural land.', 'a small wild road is located in a piece of green agricultural land.', 'a small wild road is on a piece of green agricultural land.', 'a small wild road is in a piece of green farmland .']",train/farmland_289.jpg,खेतीयोग्य भूमि,"['हरियो कृषि जमिनको टुक्रामा एउटा सानो जंगली बाटो पाइन्छ।', 'हरियो खेतीयोग्य जमिनको टुक्रामा एउटा सानो जंगली बाटो छ।', 'सानो जंगली बाटो हरियो खेतबारीको टुक्रामा छ।']"
"['the house surrounded by trees is next to a river.', 'the house surrounded by trees is next to a river.', 'the house surrounded by trees is next to a river .', 'this house is surrounded by the circle of trees .', 'a gray building is surrounded by many green trees .']",test/sparseresidential_62.jpg,आवासीय क्षेत्र,"['रुखहरूले घेरिएको घर खोलाको छेउमा छ।', 'रुखले घेरिएको घर खोलाको छेउमा छ।', 'रुखहरूले घेरिएको घर खोलाको छेउमा छ।', 'यो घर रुखको घेराले घेरिएको छ .', 'एउटा खैरो भवन धेरै हरियो रूखहरूले घेरिएको छ।']"
"['the mountain there are two colors grey and green respectively.', 'there were a few tunnel on the hill .', 's a big piece of mountain.""', '']",valid/mountain_88.jpg,पहाड,"['पहाडमा क्रमशः खैरो र हरियो दुई रङ छन्।', 'पहाडमा केही सुरुङ थिए।', 'यो पहाडको ठूलो टुक्रा हो।', 'पहाडमा क्रमशः खैरो र हरियो दुई रङ छन्।']"
"['the green fields are surrounded by bare land.', 'A house with a white roof was built next to a plot of land.', 'a house with a white roof was built next to a piece of land .', 'green fields are surrounded by bare land.', 'green fields are surrounded by bare land .']",train/farmland_349.jpg,खेतीयोग्य भूमि,"['हरियो खेतहरू खाली जमिनले घेरिएका छन्।', 'जग्गाको छेउमा सेतो छाना भएको घर बनाइयो।', 'जमिनको टुक्राको छेउमा सेतो छाना भएको घर बनाइएको थियो।', 'हरियो खेतहरू खाली जमिनले घेरिएका छन्।', 'हरियो खेतहरू खाली जमिनले घेरिएका छन्।']"
"['some green trees and several buildings are located on both sides of a curved river.', 'some green trees and several buildings are located on two sides of a curved river.', 'Some green trees and several buildings are on two sides of a curved river.', 'some green trees and several buildings are on two sides of a curved river.', 'some green trees and several buildings are in two sides of a curved river .']",train/river_302.jpg,नदी,"['केही हरियो रूखहरू र धेरै भवनहरू घुमाउरो नदीको दुवै किनारमा अवस्थित छन्।', 'केही हरिया रुखहरू र धेरै भवनहरू घुमेको खोलाको दुई किनारमा अवस्थित छन्।', 'केही हरिया रुखहरू र धेरै भवनहरू घुमेको खोलाको दुई किनारमा छन्।', 'केही हरिया रुखहरू र धेरै भवनहरू घुमेको खोलाको दुई किनारमा छन्।', 'केही हरिया रुखहरू र धेरै भवनहरू घुमेको खोलाको दुई किनारमा छन्।']"
"['a large number of cars parked near the airport plains.', 'many of the planes packed on the wide .', 'several planes are close to a terminal in an airport with parking lots.', 'several planes are near a terminal in an airport with parking lots .', 'a large number of cars parked near the airport plains .']",train/airport_317.jpg,विमानस्थल,"['विमानस्थलको मैदान नजिकै पार्किङ गरिएका कारहरूको ठूलो संख्या।', 'धेरै विमानहरू चौडामा भरिएका छन्।', 'धेरै विमान पार्किङ स्थल भएको विमानस्थलको टर्मिनल नजिकै छन्।', 'धेरै विमान पार्किङ स्थल भएको विमानस्थलको टर्मिनल नजिकै छन्।', 'विमानस्थलको मैदान नजिकै ठूलो संख्यामा कार पार्क गरिएको।']"
"['there is a river across the earth .', 'beside the river have farmland and homes .', 'there is a long and narrow green river, river on one side of the distribution of the lush green plants .', 'there are a white building on the other side of the river .', 'yellow bareland are in two sides of a curved river .']",valid/river_91.jpg,नदी,"['पृथ्वीभरि एउटा नदी छ।', 'नदीको छेउमा खेतबारी र घरहरू छन्।', 'त्यहाँ लामो र साँघुरो हरियो नदी, हरियाली बिरुवाहरूको वितरणको एक छेउमा नदी छ।', 'नदीको अर्को छेउमा सेतो भवन छ।', 'पहेँलो खाली भूमि घुमेको नदीको दुई किनारमा छ।']"
"['residential buildings on both sides of the road are well disposed.', 'residential buildings are neatly arranged in different colors .', 'Many buildings and some green trees are located in a dense residential area.', 'many buildings and some green trees are in a dense residential area .', 'the residential buildings on both sides of the road are neatly arranged .']",train/denseresidential_338.jpg,आवासीय क्षेत्र,"['सडकको दुबै छेउमा रहेका आवासीय भवनहरू राम्रोसँग डिस्पोज गरिएका छन्।', 'आवासीय भवनहरू विभिन्न रंगहरूमा राम्ररी व्यवस्थित छन्।', 'धेरै भवन र केही हरिया रुखहरू घना आवासीय क्षेत्रमा अवस्थित छन्।', 'धेरै भवनहरू र केही हरियो रूखहरू घना आवासीय क्षेत्रमा छन्।', 'सडकको दुबै छेउमा रहेका आवासीय भवनहरू राम्ररी व्यवस्थित छन्।']"
"['distribution on the ground of a river.', 'green vegetation is lush on shore .', 'Many green plants are found on both sides of a curved river.', 'many green plants are in two sides of a curved river .', 'distribution on the ground a river .']",valid/river_71.jpg,नदी,"['नदीको जमिनमा वितरण।', 'किनारमा हरियो वनस्पति हरियाली छ .', '', '']"
"['The agricultural lands and some green trees are located on both sides of a curved river.', 'agricultural lands and some green trees are located on two sides of a curved river.', 'agricultural land and some green trees are on two sides of a curved river.', 'agricultural lands and some green trees are on two sides of a curved river.', 'farmlands and some green trees are in two sides of a curved river .']",train/river_157.jpg,नदी,"['कृषि जग्गा र केही हरिया रुखहरू घुमाउरो नदीको दुवै किनारमा अवस्थित छन्।', 'कृषि जग्गा र केही हरिया रुखहरू घुमेको खोलाको दुई किनारमा छन्।', 'कृषि जमिन र केही हरिया रुखहरू घुमेको खोलाको दुई किनारमा छन्।', 'कृषि जग्गा र केही हरिया रुखहरू घुमेको खोलाको दुई किनारमा छन्।', 'खेती जग्गा र केही हरिया रूखहरू घुमाउरो नदीको दुई किनारमा छन्।']"
"['The mountains have been washed.', 'the mountain scenery is very beautiful .', 's a big piece of green mountain.""', '']",valid/mountain_90.jpg,पहाड,"['पहाडहरू धोइएका छन्।', 'पहाडको दृश्य धेरै सुन्दर छ।', 'यो हरियो पहाडको ठूलो टुक्रा हो।', 'पहाडहरू पखालिए।']"
"['two irregular ponds are surrounded by green trees and some buildings.', 'two irregular ponds are surrounded by green trees and some buildings.', 'two irregular ponds are surrounded by green trees and some buildings.', 'two irregular ponds are surrounded by green trees and some buildings.', 'two irregular ponds are surrounded by green trees and some buildings .']",train/pond_283.jpg,पोखरी,"['दुई अनियमित पोखरीहरू हरियो रूख र केही भवनहरूले घेरिएका छन्।', 'दुई अनियमित पोखरी हरिया रुख र केही भवनहरूले घेरिएका छन्।', 'दुई अनियमित पोखरी हरिया रुख र केही भवनहरूले घेरिएका छन्।', 'दुई अनियमित पोखरी हरिया रुख र केही भवनहरूले घेरिएका छन्।', 'दुई अनियमित पोखरी हरियो रुख र केही भवनहरूले घेरिएका छन्।']"
"['an airport with several planes.', 'an airport with several aircraft.', 'several white planes are around a building in a circle with a parking lot.', 'several white planes are around a circle building with a parking lot .', 'an airport with several planes .']",train/airport_278.jpg,विमानस्थल,"['धेरै विमानहरू भएको एयरपोर्ट।', 'धेरै विमान भएको एयरपोर्ट।', 'धेरै सेतो विमानहरू पार्किङ स्थल भएको सर्कलमा भवनको वरिपरि छन्।', 'धेरै सेतो विमानहरू पार्किङ स्थल भएको सर्कल भवनको वरिपरि छन्।', 'धेरै विमानहरू भएको एयरपोर्ट।']"
"['a playground is between a road and a river.', 'a playground is located between a road and a river.', 'a playground lies between a road and a river.', 'a playground is between a road and a river.', 'a playground is between a road and a river .']",valid/playground_94.jpg,खेळमैदान,"['खेल मैदान सडक र खोलाको बीचमा हुन्छ।', 'खेल मैदान सडक र खोलाको बीचमा हुन्छ।', 'खेल मैदान सडक र खोलाको बीचमा हुन्छ।', 'खेल मैदान सडक र खोलाको बीचमा हुन्छ।']"
"['the small farm is composed of grass and crops.', 'a few crooked paths pass through the farm .', 'many pieces of black rectangular grey agricultural land are together.', 'many pieces of rectangular gray black farmlands are together .', 'the little farm is made up of grass and crops .']",train/farmland_32.jpg,खेतीयोग्य भूमि,"['सानो खेत घाँस र बाली मिलेर बनेको छ।', 'केही बाङ्गो बाटाहरू खेत भएर जान्छ।', 'कालो आयताकार खैरो कृषि भूमिका धेरै टुक्राहरू सँगै छन्।', 'आयताकार खैरो कालो खेतबारीका धेरै टुक्राहरू सँगै छन्।', 'सानो खेत घाँस र बाली मिलेर बनेको छ।']"
"['play field basketball lines clearly divided.', 'there are a lot of buildings next to the playground .', 'many green trees and several buildings are around a playground.', 'many green trees and several buildings are around a playground .', 'the playground basketball lines divided clearly .']",valid/playground_76.jpg,खेळमैदान,"['खेल मैदान बास्केटबल लाइनहरू स्पष्ट रूपमा विभाजित।', 'खेल मैदानको छेउमा धेरै भवनहरू छन्।', 'धेरै हरिया रुखहरू र धेरै भवनहरू खेल मैदानको वरिपरि छन्।', 'धेरै हरिया रुखहरू र धेरै भवनहरू खेल मैदानको वरिपरि छन्।', 'खेल मैदान बास्केटबल लाइनहरू स्पष्ट रूपमा विभाजित।']"
"['an irregular pond surrounded by green trees and agricultural land is located close to two parallel roads with cars.', 'an irregular pond surrounded by green trees and agricultural land is located close to two parallel roads with cars.', 'an irregular lake surrounded by green trees and farmland is located close to two parallel roads with car.', 'an irregular lagoon surrounded by green trees and agricultural land is close to two parallel roads with cars.', 'an irregular pond surrounded by green trees and farmlands is near two parallel roads with cars .']",train/pond_323.jpg,पोखरी,"['हरियो रूखहरू र खेतीयोग्य जमिनले घेरिएको अनियमित पोखरी दुईवटा समानान्तर सडकको नजिकै कारहरू छन्।', 'हरियो रूखहरू र कृषि जमिनले घेरिएको अनियमित पोखरी दुईवटा समानान्तर सडकको नजिकै कारहरू छन्।', 'हरियो रूख र खेतबारीले घेरिएको एउटा अनियमित ताल कारको दुई समानान्तर सडकको नजिक अवस्थित छ।', 'हरियो रूख र कृषि जमिनले घेरिएको एउटा अनियमित ताल गाडीको दुई समानान्तर सडकको नजिक छ।', 'हरियो रूख र खेतबारीले घेरिएको एउटा अनियमित पोखरी दुईवटा समानान्तर सडकको नजिकै छ।']"
"['s a piece of an irregular green mountain.""  ""It', 's a piece of an irregular green mountain.""  ""It', 'it is a piece of an irregular green mountain .']",train/mountain_312.jpg,पहाड,['यो अनियमित हरियो पहाडको टुक्रा हो।']
"['a residential area on both sides of the road.', 'many tall trees were planted around the house .', 'Many braids, roads and houses are located in the midum residential area.', 'many tress, roads and houses are in the midum residential area .', 'a residential area on either side of the road .']",test/mediumresidential_70.jpg,आवासीय क्षेत्र,"['सडकको दुबै छेउमा आवासीय क्षेत्र।', 'घरको वरिपरि धेरै अग्लो रुखहरू रोपिएका थिए।', 'धेरै चोली, सडक र घरहरू मध्य आवासीय क्षेत्रमा अवस्थित छन्।', 'धेरै ट्रेस, सडक र घरहरू मध्य आवासीय क्षेत्रमा छन्।', 'सडकको दुबै छेउमा रहेको आवासीय क्षेत्र।']"
"['many green trees are around a polygonal brown pond.', 'Many green trees are around a brown polygonal pond.', 'Many green trees are around a brown polygonal lake.', 'many green trees are around a brown polygonal pond.', 'many green trees are around a polygonal brown pond .']",train/pond_292.jpg,पोखरी,"['धेरै हरियो रूखहरू बहुभुज खैरो पोखरी वरिपरि छन्।', 'धेरै हरियो रूखहरू खैरो बहुभुज पोखरीको वरिपरि छन्।', 'धेरै हरियो रूखहरू खैरो बहुभुज तालको वरिपरि छन्।', 'धेरै हरियो रूखहरू खैरो बहुभुज पोखरी वरिपरि छन्।', 'धेरै हरियो रूखहरू बहुभुज खैरो पोखरी वरिपरि छन्।']"
"['Many grass and trees are planted around the house.', 'The roofs of these houses are grey and red.', 'the roofs of these houses are grey and red .', 'a lot of grass and trees are planted around the house.', 'a lot of grass and trees are planted around the house .']",train/mediumresidential_4.jpg,आवासीय क्षेत्र,"['घर वरिपरि धेरै घाँस र रूखहरू रोपिएका छन्।', 'यी घरका छाना खरानी र रातो छन्।', 'यी घरका छाना खरानी र रातो छन् .', 'घर वरिपरि धेरै घाँस र रूखहरू रोपिएका छन्।', 'घर वरिपरि धेरै घाँस र रूखहरू रोपिएका छन्।']"
"['Many trees are planted around the football field.', 'There are a few houses around the football field.', 'there are some houses around the football field .', 'A lot of trees are planted around the football field.', 'a lot of trees are planted around the football field .']",train/playground_364.jpg,खेळमैदान,"['फुटबल मैदान वरिपरि धेरै रूखहरू रोपिएका छन्।', 'फुटबल मैदान वरपर केही घरहरू छन्।', 'फुटबल मैदान वरपर केही घरहरू छन्।', 'फुटबल मैदान वरिपरि धेरै रुखहरू रोपिएका छन्।', 'फुटबल मैदान वरिपरि धेरै रुखहरू रोपिएका छन्।']"
